LABNR,C14AGE,C14STD,C13,METHOD,MATERIAL,COUNTRY,SITE,FEATURE,FEATURE_DESC,DEPTH,LAT,LONG,PHASE,LITHICS,POTTERY,IRON,FRUIT,ZOO,CLASS,REMARK,SOURCE
AA-33171,13800,100,,AMS,,GNQ,Mosumu,,,,1.727,10.078,,,,,,,Ib,,Martí 2003; Clist et al. 2023
AA-33172,6665,90,,AMS,,GNQ,Mosumu,,,,1.727,10.078,,,,,,,Ib,,Martí 2003; Clist et al. 2023
AA-33225,10015,55,,AMS,Charcoal_endocarp_canarium,COD,Isak Baite SW,,Layer,,2.17,28.6,LSA,indet,,,Cs,,Ib,,"Mercader et al. 2000; Mercader 2003: 101 Tab. 3-1; Mercader/Martí 2003: 82 Tab. 2.3; Clist 2004/2005: Tab. 11"
AA-33226,6025,70,,AMS,Charcoal,COD,Wataka Gitatu E,,Layer,,2.17,28.6,LSA,indet,,,,,Ib,,"Mercader et al. 2000; Mercader 2003: 101 Tab. 3-1; Mercader/Martí 2003: 82 Tab. 2.3"
AA-36757,4254,49,,AMS,,GNQ,Mosumu,,,,1.727,10.078,,,,,,,Ib,,Martí 2003; Clist et al. 2023
AA-36758,10450,93,,AMS,,GNQ,Mosumu,,,,1.727,10.078,,,,,,,Ib,,Martí 2003; Clist et al. 2023
AA-36792,5810,290,,AMS,,GNQ,Mosumu,,,,1.727,10.078,,,,,,,Ib,,Martí 2003; Clist et al. 2023
AA-36793,30300,1300,,AMS,,GNQ,Mosumu,,,,1.727,10.078,MSA,indet,,,,,Ib,,"Mercader/Martí 2003: 82 Tab. 2.3"
AA-78447,2362,39,,AMS,Sediment_wet,CAF,Mbaere,-,Pollencore,0.72,3.989,16.924,,-,-,-,,-,IIIc,,Kiahtipes et al. 2011
AA-78448,2171,37,,AMS,Sediment_wet,CAF,Mbaere,-,Pollencore,0.42,3.989,16.924,,-,-,-,,-,IIIc,,Kiahtipes et al. 2011
AA-78449,834,35,,AMS,Sediment_wet,CAF,Mbaere,-,Pollencore,0.12,3.989,16.924,,-,-,-,,-,IIIc,,Kiahtipes et al. 2011
AA-94529,215,34,,AMS,unknown,CAF,Ngotto,BB01-29,Slag mound,-,3.835,17.47,,-,indet,slag; tuyère,Eg,,Ib,,"Lupo et al. 2015: 6 Tab. 1, 9 Tab. 2; Kiahtipes 2016:81 Tab. 4-1; Lupo et al. 2018: 9 Tab. 2"
