LABNR,C14AGE,C14STD,C13,MATERIAL,SITE,COUNTRY,FEATURE,FEATURE_DESC,PHASE,POTTERY,ASSOCIATION,REL,LAT,LONG,SOURCE
AA-78447,2362,39,0,,Mbaere,CAF,,Pollencore,,,,0,3.988639,16.924447,Kiahtipes/Lupo et al. 2011
AA-78448,2171,37,0,,Mbaere,CAF,,Pollencore,,,,0,3.988639,16.924447,Kiahtipes/Lupo et al. 2011
AA-78449,834,35,0,,Mbaere,CAF,,Pollencore,,,,0,3.988639,16.924447,Kiahtipes/Lupo et al. 2011
AA-94529,215,34,0,,Ngotto,CAF,BB01-29,Slag Mound,,,,,3.835,17.47,Lupo et al. 2015; Kiahtipes 2016:81 Tab. 4-1; Lupo et al. 2018: 9 Tab. 2
AA-94530,168,35,0,,Ngotto,CAF,BB01-30,Slag Mound,,,,,3.835,17.47,Lupo et al. 2015; Kiahtipes 2016:81 Tab. 4-1; Lupo et al. 2018: 9 Tab. 2
AA-94531,207,35,0,,Ngotto,CAF,BB01-31,Slag Mound,,,,,3.835,17.47,Lupo et al. 2015; Kiahtipes 2016:81 Tab. 4-1; Lupo et al. 2018: 9 Tab. 2
AA-94532,148,34,0,,Ngotto,CAF,BB01-36,Slag Mound,,,,,3.835,17.47,Lupo et al. 2015; Kiahtipes 2016:81 Tab. 4-1; Lupo et al. 2018: 9 Tab. 2
AA-94533,231,34,0,,Ngotto,CAF,BB05-32,Slag Mound,,,,,3.835,17.47,Lupo et al. 2015; Kiahtipes 2016:81 Tab. 4-1; Lupo et al. 2018: 9 Tab. 2
AA-94534,187,34,0,,Ngotto,CAF,BB05-41,Slag Mound,,,,,3.835,17.47,Lupo et al. 2015; Kiahtipes 2016:81 Tab. 4-1
AA-94535,412,34,0,,Ngotto,CAF,LL01,Slag Mound,,,,,3.7628,17.5151,Lupo et al. 2018: 9 Tab. 2
AA-94536,1938,36,0,,Ngotto,CAF,ML01,,,,,,3.7382,17.5110,Lupo et al. 2018: 9 Tab. 2
AA-94537,160,35,0,,Ngotto,CAF,ND01-03,Ore Quarry,,,,,3.839,17.488,Lupo et al. 2015; Kiahtipes 2016:81 Tab. 4-1; Lupo et al. 2018: 9 Tab. 2
AA-94538,242,34,0,,Ngotto,CAF,ND02-76,Slag Mound,,,,,3.839,17.488,Lupo et al. 2015; Kiahtipes 2016:81 Tab. 4-1; Lupo et al. 2018: 9 Tab. 2
AA-94539,217,48,0,,Ngotto,CAF,NG01-74,Slag Mound,,,,,3.872,17.46,Lupo et al. 2015; Kiahtipes 2016:81 Tab. 4-1; Lupo et al. 2018: 9 Tab. 2
AA-94540,706,35,0,,Ngotto,CAF,NZ03-23,Low Mound,,,,,3.842,17.497,Lupo et al. 2015; Kiahtipes 2016:81 Tab. 4-1; Lupo et al. 2018: 9 Tab. 2
AA-94541,494,34,0,,Ngotto,CAF,NZ03-17,Low Mound,,,,,3.842,17.497,Lupo et al. 2015; Kiahtipes 2016:81 Tab. 4-1; Lupo et al. 2018: 9 Tab. 2
AA-94542,593,34,0,,Ngotto,CAF,NZ03-12,Low Mound,,,,,3.842,17.497,Lupo et al. 2015; Kiahtipes 2016:81 Tab. 4-1; Lupo et al. 2018: 9 Tab. 2
AA-94543,152,35,0,,Ngotto,CAF,OB01-67,Slag Mound,,,,,3.825,17.486,Lupo et al. 2015; Kiahtipes 2016:81 Tab. 4-1; Lupo et al. 2018: 9 Tab. 2
AA-94544,210,34,0,,Ngotto,CAF,OB02-49,Slag Mound,,,,,3.825,17.486,Lupo et al. 2015; Kiahtipes 2016:81 Tab. 4-1; Lupo et al. 2018: 9 Tab. 2
AA-94545,188,39,0,,Ngotto,CAF,OB05-53,Midden,,,,,3.825,17.486,Lupo et al. 2015; Kiahtipes 2016:81 Tab. 4-1; Lupo et al. 2018: 9 Tab. 2
AA-94546,131,34,0,,Ngotto,CAF,OB05-54,Midden,,,,,3.825,17.486,Lupo et al. 2015; Kiahtipes 2016:81 Tab. 4-1; Lupo et al. 2018: 9 Tab. 2
AA-94547,131,34,0,,Ngotto,CAF,OB06-63,Slag Mound,,,,,3.825,17.486,Lupo et al. 2015; Kiahtipes 2016:81 Tab. 4-1; Lupo et al. 2018: 9 Tab. 2
AA-96496,1652,37,0,,Ngotto,CAF,P02-01,Pit,,,,,4.0333,17.3181,Kiahtipes 2016:81 Tab. 4-1; Lupo et al. 2018: 7 Tab. 1
AA-96496,0,0,0,,Ngotto,CAF,P02,,,,,,4.0333,17.3181,Lupo et al. 2018: 7 Tab. 1
AA-96498,143,34,0,,Ngotto,CAF,P02-07,Pit,,,,,4.0333,17.3181,Kiahtipes 2016:81 Tab. 4-1; Lupo et al. 2018: 7 Tab. 1
AA-96499,1264,36,0,,Ngotto,CAF,Z13-10,Furnace,,,,,4.0728,17.0713,Kiahtipes 2016:81 Tab. 4-1; Lupo et al. 2018: 7 Tab. 1
AA-96500,2179,37,0,,Ngotto,CAF,Z02-02,Midden,,,,,4.0752,17.0707,Kiahtipes 2016:81 Tab. 4-1; Lupo et al. 2018: 7 Tab. 1
Arc-339,2310,60,0,Charcoal,Okanda 1/Mont Brazza,GAB,,,,,,,-0.074,11.352,Clist 1995; Clist 2004/05
Arc-340,540,50,0,,Mont Barnier,COG,,,,,,,-4.18639,15.20028,Pincon 1991
Arc-341,2210,100,0,Charcoal,Kango 5,GAB,,,,,,,0.200833,10.0825,Clist 2004/05
Arc-343,1900,50,0,,Oveng,GAB,,,,Oveng,,,0.478611,9.516667,Clist 2004/05
Arc-373,2110,60,0,,Les Saras,COG,,,,,,,-4.183333,12.283333,Eggert 1993
Arc-530,2390,65,0,,Otoumbi 13,GAB,,,,,,,-0.076389,11.096667,Oslisly 1992
B-263,1240,120,0,,Sanga,COD,,,,,,,-8.18107,26.48988,de Maret 1977
B-264,1070,200,0,,Sanga,COD,,,,,,,-8.18107,26.48988,de Maret 1977
B-696,6780,150,0,,Mose,COD,,,,,,,,,de Maret/van Noten/Cahen 1977
B-755,1700,100,0,Charcoal,Ndora,RWA,,,,,,,,,de Maret/van Noten/Cahen 1977
B-758,1650,80,0,Charcoal,Cyamakuza,RWA,,,,,,,,,de Maret/van Noten/Cahen 1977
B-759,80,80,0,,Mikweti,COD,,,,,,,,,de Maret/van Noten/Cahen 1977
B-760,760,160,0,,Katoto,COD,,,,,,,,,de Maret/van Noten/Cahen 1977
Bdy-253,140,240,0,,Mondongué,CAF,,,,,,,3.65,18.56,Kote 1992; Moga 2008
Bdy-255,430,180,0,,Lingbadongo,CAF,,,,,,,3.816667,18.533333,Moga 2008; Lupo et al. 2018: 14 Tab. 3
Bdy-301,1890,130,0,,Batalimo,CAF,,Trench,,,,,3.675942,18.455022,Kote 1992: 118 Tab. 10; Lupo et al. 2018: 14 Tab. 3
Bdy-303,870,210,0,,Sikilongo,CAF,,,,,,,3.65,18.56,Kote 1992: 118 Tab. 10; Moga 2008; Lupo et al. 2018: 14 Tab. 3
Bdy-304,1730,120,0,,Batalimo,CAF,,Trench,,,,,3.675942,18.455022,Kote 1992: 118 Tab. 10; Lupo et al. 2018: 14 Tab. 3
Bdy-306,1990,210,0,,Batalimo,CAF,,Trench,,Batalimo-Maluba,,,3.675942,18.455022,Zangato 2000; Lupo et al. 2018: 14 Tab. 3
Bdy-311,670,60,0,,Té Ndongué,CAF,,,,,,,5.716667,18,Moga 2008
Bdy-312,810,310,0,,Té Ndongué,CAF,,,,,,,5.716667,18,Moga 2008
Bdy-461,1200,120,0,,Eyo,CAF,,,,,,,3.66,18.48,Kote 1992: 118 Tab. 10; Moga 2008; Lupo et al. 2018: 14 Tab. 3
Bdy-462,240,75,0,,Batalimo,CAF,,Trench,,,,,3.675942,18.455022,Kote 1992: 118 Tab. 10; Lupo et al. 2018: 14 Tab. 3
Bdy-463,70,120,0,,Lingbangbo,CAF,,,,,,,3.633333,18.4,Kote 1992; Moga 2008
Bdy-464,110,80,0,,Lingbangbo,CAF,,,,,,,3.633333,18.4,Kote 1992: 118 Tab. 10; Moga 2008; Lupo et al. 2018: 14 Tab. 3
Bdy-465,1270,125,0,,Batalimo,CAF,,Trench,,,,,3.675942,18.455022,Kote 1992: 118 Tab. 10; Lupo et al. 2018: 14 Tab. 3
Bdy-579,1020,115,0,,Eyo,CAF,,,,,,,3.66,18.48,Kote 1992: 118 Tab. 10; Moga 2008; Lupo et al. 2018: 14 Tab. 3
Bdy-581,1798,101,0,,Batalimo,CAF,,Trench,,,,,3.675942,18.455022,Kote 1992: 118 Tab. 10; Lupo et al. 2018: 14 Tab. 3
Bdy-582,559,77,0,,Lingbangbo,CAF,,,,,,,3.633333,18.4,Kote 1992: 118 Tab. 10; Moga 2008; Lupo et al. 2018: 14 Tab. 3
Bdy-583,1200,100,0,,Bobélé 2,CAF,,,,,,,4.03,18.38,Kote 1992: 118 Tab. 10; Moga 2008; Lupo et al. 2018: 14 Tab. 3
Beta-?,2050,70,0,,Issemeyo 4,GAB,,Pit,,,,,0.300172,11.3891,Oslisly/Assoko Ndong 2001
